time,value
2026-03-27 22:19:36.032999992,0.0
2026-03-27 22:19:41.032999992,0.0
2026-03-27 22:19:46.032999992,2.903413333333333
2026-03-27 22:19:51.032999992,3.3061333333333334
2026-03-27 22:19:56.032999992,3.1782399999999997
2026-03-27 22:20:01.032999992,3.0927715930049104
2026-03-27 22:20:06.032999992,3.0320761904761904
2026-03-27 22:20:11.032999992,2.9863999999999997
2026-03-27 22:20:16.032999992,2.9508740740740738
2026-03-27 22:20:21.032999992,2.9224533333333333
2026-03-27 22:20:26.032999992,2.8992
2026-03-27 22:20:31.032999992,2.8992126843282358
2026-03-27 22:20:36.032999992,2.899221141315877
2026-03-27 22:20:41.032999992,0.509090909090909
2026-03-27 22:20:46.032999992,0.0
2026-03-27 22:20:51.032999992,0.0
2026-03-27 22:20:56.032999992,0.0
2026-03-27 22:21:01.032999992,0.0
2026-03-27 22:21:06.032999992,0.0
2026-03-27 22:21:11.032999992,0.0
2026-03-27 22:21:16.032999992,0.0
2026-03-27 22:21:21.032999992,0.0
2026-03-27 22:21:26.032999992,0.0
2026-03-27 22:21:31.032999992,0.0
2026-03-27 22:21:36.032999992,0.0
2026-03-27 22:21:41.032999992,0.0
2026-03-27 22:21:46.032999992,0.0
2026-03-27 22:21:51.032999992,0.0
2026-03-27 22:21:56.032999992,0.0
2026-03-27 22:22:01.032999992,0.0
2026-03-27 22:22:06.032999992,0.0
2026-03-27 22:22:11.032999992,0.0
2026-03-27 22:22:16.032999992,0.0
2026-03-27 22:22:21.032999992,0.0
2026-03-27 22:22:26.032999992,0.0
2026-03-27 22:22:31.032999992,0.0
2026-03-27 22:22:36.032999992,0.0
2026-03-27 22:22:41.032999992,0.0
2026-03-27 22:22:46.032999992,0.0
2026-03-27 22:22:51.032999992,0.0
2026-03-27 22:22:56.032999992,0.0
2026-03-27 22:23:01.032999992,0.0
2026-03-27 22:23:06.032999992,0.0
2026-03-27 22:23:11.032999992,0.0
2026-03-27 22:23:16.032999992,0.0
2026-03-27 22:23:21.032999992,0.0
2026-03-27 22:23:26.032999992,0.0
2026-03-27 22:23:31.032999992,0.0
2026-03-27 22:23:36.032999992,0.0
2026-03-27 22:32:41.032999992,0.0
2026-03-27 22:32:46.032999992,0.0
2026-03-27 22:32:51.032999992,0.0
2026-03-27 22:32:56.032999992,0.0
2026-03-27 22:33:01.032999992,0.0
2026-03-27 22:33:06.032999992,0.0
2026-03-27 22:33:11.032999992,0.0
2026-03-27 22:33:16.032999992,0.0
2026-03-27 22:33:21.032999992,0.0
2026-03-27 22:33:26.032999992,0.0
2026-03-27 22:33:31.032999992,0.0
2026-03-27 22:33:36.032999992,0.0
2026-03-27 22:33:41.032999992,0.0
2026-03-27 22:33:46.032999992,0.0
2026-03-27 22:33:51.032999992,0.0
2026-03-27 22:33:56.032999992,0.0
2026-03-27 22:34:01.032999992,0.0
2026-03-27 22:34:06.032999992,0.0
2026-03-27 22:34:11.032999992,0.0
2026-03-27 22:34:16.032999992,0.0
2026-03-27 22:34:21.032999992,0.0
2026-03-27 22:34:26.032999992,0.0
2026-03-27 22:34:31.032999992,0.0
2026-03-27 22:34:36.032999992,0.0
2026-03-27 22:34:41.032999992,0.0
2026-03-27 22:34:46.032999992,0.0
2026-03-27 22:34:51.032999992,0.0
2026-03-27 22:34:56.032999992,0.0
2026-03-27 22:35:01.032999992,0.0
2026-03-27 22:35:06.032999992,0.0
2026-03-27 22:35:11.032999992,0.0
2026-03-27 22:35:16.032999992,0.0
2026-03-27 22:35:21.032999992,0.0
2026-03-27 22:35:26.032999992,0.0
2026-03-27 22:35:31.032999992,0.0
2026-03-27 22:35:36.032999992,0.0
